Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Product Container,Customer Name,Customer Segment,Zip Code,State,City,Region,Product Category,Product Sub-Category,Product Name,Unit Price,Order Quantity,Sales,Profit,Discount,Shipping Cost,Product Base Margin
46,263,2009-05-16,2009-05-17,Regular Air,High,Small Box,Paul Lucas,Corporate,95616,California,Davis,West,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,5.4,25,136.77,-136.25,0.09,7.78,0.37
47,290,2009-01-05,2009-01-06,Regular Air,Not Specified,Wrap Bag,Dorris Love,Home Office,11729,New York,Deer Park,East,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",7.64,24,188.73,-32.48,0.05,5.83,0.36
48,292,2012-01-12,2012-01-13,Regular Air,High,Small Box,Valerie Takahito,Consumer,29687,South Carolina,Taylors,South,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,9.9,43,412.62,175.54,0.08,1.39,0.37
49,293,2012-10-01,2012-10-02,Delivery Truck,High,Jumbo Drum,Barry French,Consumer,60477,Illinois,Tinley Park,Central,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,49,10123.02,457.81,0.07,68.02,0.58
50,293,2012-10-01,2012-10-03,Regular Air,High,Small Box,Barry French,Consumer,60477,Illinois,Tinley Park,Central,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",8.69,27,244.57,46.71,0.01,2.99,0.39
51,294,2010-07-15,2010-07-16,Regular Air,Medium,Small Box,Sanjit Chand,Home Office,50322,Iowa,Urbandale,Central,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,193.17,35,6375.28,489.02,0.06,19.99,0.71
52,322,2012-03-18,2012-03-20,Regular Air,Critical,Small Box,Giulietta Weimer,Corporate,48101,Michigan,Allen Park,Central,Technology,Telephones and Communication,I888 World Phone,155.99,20,2634.8555,257.76,0.08,8.08,0.6
53,322,2012-03-18,2012-03-20,Regular Air,Critical,Small Box,Giulietta Weimer,Corporate,48104,Michigan,Ann Arbor,Central,Office Supplies,Paper,Xerox 1997,6.48,46,281,-291.59,0.1,10.05,0.37
54,323,2009-03-25,2009-03-27,Regular Air,Critical,Small Box,Dario Medina,Small Business,85254,Arizona,Scottsdale,West,Office Supplies,Envelopes,Staples Standard Envelopes,5.68,20,108.09,25.76,0.07,1.39,0.38
55,323,2009-03-25,2009-03-27,Regular Air,Critical,Small Box,Dario Medina,Small Business,85254,Arizona,Scottsdale,West,Office Supplies,Paper,Xerox 1964,22.84,2,55.34,-31.24,0.06,11.54,0.39
56,324,2012-03-19,2012-03-21,Regular Air,Critical,Medium Box,Frank Gastineau,Small Business,27237,North Carolina,Sanford,South,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,179.99,25,3872.634,667.33,0.02,13.99,0.57
57,325,2010-10-16,2010-10-20,Regular Air,Low,Small Box,Craig Yedwab,Corporate,04073,Maine,Sanford,East,Technology,Telephones and Communication,282,115.99,9,884.1275,-178.71,0.06,4.23,0.56
58,326,2011-06-03,2011-06-04,Regular Air,High,Small Box,Michelle Tran,Consumer,21044,Maryland,Columbia,East,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",5.99,34,218.27,-44.14,0.03,4.92,0.38
59,326,2011-06-03,2011-06-04,Regular Air,High,Wrap Bag,Michelle Tran,Consumer,21114,Maryland,Crofton,East,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",5.81,17,100.95,-21.30,0.05,3.37,0.54
60,353,2010-12-30,2011-04-01,Regular Air,Low,Wrap Bag,Dean Percer,Home Office,94061,California,Redwood City,West,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",2.21,21,46.94,3.88,0.02,1,0.38
61,355,2009-06-13,2009-06-18,Regular Air,Low,Wrap Bag,Henry MacAllister,Small Business,77840,Texas,College Station,Central,Technology,Telephones and Communication,Accessory4,85.99,16,1239.6315,-172.55,0,0.99,0.85
62,358,2010-09-19,2010-09-21,Delivery Truck,High,Jumbo Box,Ricardo Block,Corporate,83501,Idaho,Lewiston,West,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,33,1640.9,-1348.06,0.02,54.11,0.69
63,358,2010-09-19,2010-09-19,Regular Air,High,Small Pack,Ricardo Block,Corporate,83501,Idaho,Lewiston,West,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",39.48,33,1235.87,269.27,0.07,1.99,0.54
64,359,2009-12-18,2009-12-19,Delivery Truck,Medium,Jumbo Box,Cari Sayre,Corporate,84062,Utah,Pleasant Grove,West,Furniture,Tables,Bevis 36 x 72 Conference Tables,124.49,30,3659.66,-500.38,0.08,51.94,0.63
65,384,2012-03-02,2012-03-09,Delivery Truck,Low,Jumbo Box,Sonia Cooley,Corporate,97701,Oregon,Bend,West,Furniture,Tables,BPI Conference Tables,146.05,50,7666.04,-1820.84,0.02,80.2,0.71
66,386,2011-01-24,2011-01-26,Regular Air,High,Small Box,Tracy Poddar,Corporate,43050,Ohio,Mount Vernon,East,Office Supplies,Labels,Avery 501,3.69,4,14.96,-0.03,0.02,0.5,0.38
67,386,2011-01-24,2011-01-26,Regular Air,High,Wrap Bag,Tracy Poddar,Corporate,43050,Ohio,Mount Vernon,East,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.85,4,15.69,-1.59,0.09,0.7,0.44
68,388,2012-12-15,2012-12-18,Regular Air,Not Specified,Medium Box,Jennifer Halladay,Home Office,74006,Oklahoma,Bartlesville,Central,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,11.7,46,517.93,-94.73,0.06,6.96,0.5
69,416,2010-09-26,2010-10-01,Express Air,Low,Small Box,Stuart Calhoun,Consumer,43123,Ohio,Grove City,East,Technology,Telephones and Communication,5190,65.99,20,1156.6715,88.52,0.01,7.69,0.59
70,417,2009-02-05,2009-02-06,Delivery Truck,Medium,Jumbo Drum,Robert Barroso,Small Business,90022,California,East Los Angeles,West,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",500.98,39,15260.78,8734.88,0.07,28.14,0.38
71,417,2009-02-05,2009-02-07,Regular Air,Medium,Small Box,Robert Barroso,Small Business,90022,California,East Los Angeles,West,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",178.47,3,540.41,-170.98,0.1,19.99,0.55
72,420,2011-10-30,2011-10-30,Regular Air,Not Specified,Small Box,Tony Sayre,Small Business,98270,Washington,Marysville,West,Office Supplies,Paper,Xerox 190,4.98,8,43.29,-20.69,0.09,4.86,0.38
73,420,2011-10-30,2011-11-01,Regular Air,Not Specified,Small Box,Tony Sayre,Small Business,98270,Washington,Marysville,West,Office Supplies,Paper,Xerox 1950,5.78,6,41.7,-14.56,0.03,5.37,0.36
74,448,2011-08-20,2011-08-22,Regular Air,Medium,Small Box,Brad Thomas,Corporate,90805,California,Long Beach,West,Technology,Telephones and Communication,iDENi80s,65.99,22,1162.4005,-284.63,0.09,19.99,0.59
75,449,2011-07-19,2011-07-21,Regular Air,High,Small Box,Candace McMahon,Corporate,78666,Texas,San Marcos,Central,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",7.38,45,356.7,-48.97,0.02,5.21,0.56
76,450,2011-03-04,2011-03-05,Express Air,Not Specified,Small Pack,Matt Collins,Consumer,50501,Iowa,Fort Dodge,Central,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,29,1000.78,109.33,0.05,8.99,0.56
77,450,2011-03-04,2011-03-06,Regular Air,Not Specified,Small Box,Matt Collins,Consumer,50501,Iowa,Fort Dodge,Central,Office Supplies,Storage & Organization,Hanging Personal Folder File,15.7,35,543.72,-211.13,0.05,11.25,0.6
78,454,2011-12-26,2011-12-28,Regular Air,Low,Wrap Bag,Darrin Martin,Small Business,16602,Pennsylvania,Altoona,East,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,6.08,42,234.2,56.22,0.09,1.82,0.35
79,481,2012-10-07,2012-10-09,Regular Air,High,Small Box,Art Foster,Home Office,80126,Colorado,Highlands Ranch,West,Technology,Telephones and Communication,636,115.99,44,4509.3775,1426.26,0.01,5.26,0.57
80,483,2011-07-10,2011-07-12,Regular Air,High,Small Box,Clay Rozendal,Corporate,61201,Illinois,Rock Island,Central,Technology,Telephones and Communication,R380,195.99,30,4965.7595,1198.97,0.08,3.99,0.58
81,487,2012-08-17,2012-08-18,Regular Air,Critical,Small Box,Valerie Dominguez,Corporate,32839,Florida,Orlando,South,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,10.89,19,210.4,-18.96,0.07,4.5,0.59
82,512,2011-05-19,2011-05-19,Regular Air,Low,Large Box,Sam Craven,Home Office,30344,Georgia,East Point,South,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",218.08,6,1309.53,19.18,0.06,18.06,0.57
83,512,2011-05-19,2011-05-21,Express Air,Low,Small Box,Sam Craven,Home Office,30344,Georgia,East Point,South,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",15.42,48,806.37,-166.40,0.01,10.68,0.58
84,513,2011-04-30,2011-04-30,Delivery Truck,High,Jumbo Drum,Arthur Prichep,Home Office,44105,Ohio,Cleveland,East,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",150.89,33,5437.92,-684.57,0,60.2,0.77
85,515,2010-08-28,2010-08-30,Regular Air,Not Specified,Medium Box,Carlos Soltero,Consumer,60090,Illinois,Wheeling,Central,Office Supplies,Appliances,Holmes HEPA Air Purifier,21.78,19,394.27,30.94,0.08,5.94,0.5
86,515,2010-08-28,2010-08-30,Regular Air,Not Specified,Small Pack,Carlos Soltero,Consumer,60091,Illinois,Wilmette,Central,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,6.64,21,146.69,4.43,0.05,4.95,0.37
87,548,2009-09-20,2009-09-21,Regular Air,Critical,Small Box,Sung Chung,Home Office,42071,Kentucky,Murray,South,Office Supplies,Labels,Avery 481,3.08,41,129.49,36.02,0.04,0.99,0.37
88,548,2009-09-20,2009-09-21,Regular Air,Critical,Small Box,Sung Chung,Home Office,42071,Kentucky,Murray,South,Office Supplies,Paper,Xerox 1976,6.48,29,202.95,-50.64,0.02,5.9,0.37
89,548,2009-09-20,2009-09-22,Regular Air,Critical,Small Box,Sung Chung,Home Office,42071,Kentucky,Murray,South,Technology,Telephones and Communication,V3682,125.99,26,2753.1925,510.49,0.04,4.2,0.59
90,549,2012-07-12,2012-07-13,Regular Air,Critical,Small Box,Ken Brennan,Consumer,15146,Pennsylvania,Monroeville,East,Office Supplies,Paper,Xerox 1922,4.98,13,70.24,-59.75,0.03,7.44,0.36
91,549,2012-07-12,2012-07-13,Regular Air,Critical,Small Box,Ken Brennan,Consumer,15146,Pennsylvania,Monroeville,East,Office Supplies,Paper,Xerox 1984,6.48,5,40.75,-27.57,0.05,8.74,0.36
92,549,2012-07-12,2012-07-12,Express Air,Critical,Large Box,Ken Brennan,Consumer,15146,Pennsylvania,Monroeville,East,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",38.94,30,1150.88,-911.56,0.05,35,0.8
93,610,2011-08-01,2011-08-03,Express Air,Critical,Small Box,Joe Elijah,Home Office,72701,Arkansas,Fayetteville,South,Office Supplies,Paper,Xerox 195,6.68,38,283.65,-29.21,0.02,5.41,0.37
94,611,2010-01-26,2010-01-28,Regular Air,Critical,Small Box,Arthur Prichep,Home Office,44105,Ohio,Cleveland,East,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,17.7,47,840.04,-131.27,0.04,9.47,0.59
95,612,2012-10-20,2012-10-22,Regular Air,Medium,Small Box,Sheri Gordon,Corporate,72956,Arkansas,Van Buren,South,Office Supplies,Paper,Xerox 1928,5.28,50,262.87,-166.29,0.1,6.26,0.4
96,612,2012-10-20,2012-10-22,Regular Air,Medium,Small Box,Sheri Gordon,Corporate,72956,Arkansas,Van Buren,South,Technology,Telephones and Communication,6190,65.99,43,2531.0875,881.68,0.01,2.5,0.55
97,613,2011-06-17,2011-06-17,Regular Air,High,Small Box,Carl Jackson,Corporate,60087,Illinois,Waukegan,Central,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",7.3,12,93.54,-54.04,0.03,7.72,0.38
98,613,2011-06-17,2011-06-18,Regular Air,High,Small Box,Carl Jackson,Corporate,60087,Illinois,Waukegan,Central,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",42.76,22,905.08,127.70,0.09,6.22,
99,614,2012-11-30,2012-12-02,Regular Air,High,Small Pack,Dave Hallsten,Corporate,20746,Maryland,Camp Springs,East,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,14.34,41,628.22,163.81,0,5,0.49
100,614,2012-11-30,2012-12-01,Delivery Truck,High,Jumbo Box,Dave Hallsten,Corporate,20746,Maryland,Camp Springs,East,Furniture,Tables,Balt Split Level Computer Training Table,138.75,24,3366.1,-335.32,0.07,52.42,0.74
101,640,2010-01-22,2010-01-23,Delivery Truck,High,Jumbo Box,Tamara Chand,Consumer,77506,Texas,Pasadena,Central,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,120.98,39,4913.69,-1153.90,0.02,58.64,0.75
102,640,2010-01-22,2010-01-23,Regular Air,High,Small Box,Tamara Chand,Consumer,77506,Texas,Pasadena,Central,Office Supplies,Paper,Xerox 1939,18.97,24,464.77,29.42,0.01,9.54,0.37
103,643,2011-03-24,2011-03-25,Express Air,High,Large Box,Monica Federle,Corporate,60031,Illinois,Gurnee,Central,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",138.14,21,2781.82,-695.26,0.07,35,
104,644,2012-04-30,2012-05-01,Delivery Truck,Critical,Jumbo Drum,Bill Eplett,Corporate,13021,New York,Auburn,East,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,320.98,5,1679.58,-171.92,0.01,58.95,0.57
105,645,2009-12-02,2009-12-04,Regular Air,High,Small Box,Harold Engle,Consumer,47905,Indiana,Lafayette,Central,Office Supplies,Binders and Binder Accessories,GBC Binding covers,12.95,42,557.85,89.45,0.05,4.98,0.4
106,646,2009-11-21,2009-11-22,Regular Air,High,Small Pack,Duane Huffman,Small Business,77566,Texas,Lake Jackson,Central,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,9.31,18,173.2,-10.90,0.01,3.98,0.56
107,678,2010-02-26,2010-02-26,Regular Air,Low,Small Box,Dorothy Badders,Home Office,61107,Illinois,Rockford,Central,Office Supplies,Paper,Xerox 198,4.98,44,228.41,-226.36,0.07,8.33,0.38
108,706,2011-09-08,2011-09-10,Regular Air,Critical,Wrap Bag,Sarah Jordon,Consumer,55119,Minnesota,Maplewood,Central,Office Supplies,Pens & Art Supplies,Newell 326,1.76,42,75.14,0.82,0.05,0.7,0.56
109,710,2010-01-01,2010-01-05,Regular Air,Low,Small Box,Susan MacKendrick,Corporate,34761,Florida,Ocoee,South,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,3.58,42,161.77,-150.37,0.01,5.47,0.37
110,710,2010-01-01,2010-01-03,Regular Air,Low,Medium Box,Susan MacKendrick,Corporate,34761,Florida,Ocoee,South,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",41.32,11,447.09,89.03,0.09,8.66,0.76
111,710,2010-01-01,2010-01-05,Delivery Truck,Low,Jumbo Drum,Susan MacKendrick,Corporate,34761,Florida,Ocoee,South,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,145.45,29,4192.88,731.32,0.02,17.85,0.56
112,738,2010-03-01,2010-03-03,Regular Air,Not Specified,Small Box,Caroline Jumper,Corporate,10605,New York,White Plains,East,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,80.98,7,560.51,32.60,0.04,4.5,0.59
113,738,2010-03-01,2010-03-02,Regular Air,Not Specified,Small Box,Caroline Jumper,Corporate,10605,New York,White Plains,East,Office Supplies,Paper,Xerox 23,6.48,31,189.95,-56.68,0.08,5.14,0.37
