Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
85|US-2019-119662|2019-11-13|2019-11-16|First Class|CS-12400|Christopher Schild|Home Office|United States|Chicago|Illinois|60623.0|Central|OFF-ST-10003656|Office Supplies|Storage|Safco Industrial Wire Shelving|230.376|3|0.2|-48.9549
86|CA-2019-140088|2019-05-28|2019-05-30|Second Class|PO-18865|Patrick O'Donnell|Consumer|United States|Columbia|South Carolina|29203.0|South|FUR-CH-10000863|Furniture|Chairs|Novimex Swivel Fabric Task Chair|301.96|2|0.0|33.215599999999995
87|CA-2019-155558|2019-10-26|2019-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|55901.0|Central|TEC-AC-10001998|Technology|Accessories|Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired|19.99|1|0.0|6.796599999999998
88|CA-2019-155558|2019-10-26|2019-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|55901.0|Central|OFF-LA-10000134|Office Supplies|Labels|Avery 511|6.16|2|0.0|2.9568
89|CA-2018-159695|2018-04-05|2018-04-10|Second Class|GM-14455|Gary Mitchum|Home Office|United States|Houston|Texas|77095.0|Central|OFF-ST-10003442|Office Supplies|Storage|Eldon Portable Mobile Manager|158.36800000000002|7|0.2|13.857199999999999
90|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036.0|West|OFF-AR-10004930|Office Supplies|Art|Turquoise Lead Holder with Pocket Clip|20.1|3|0.0|6.632999999999998
91|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036.0|West|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|73.584|2|0.2|8.278199999999998
92|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036.0|West|OFF-PA-10000304|Office Supplies|Paper|Xerox 1995|6.48|1|0.0|3.1104000000000003
93|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407.0|Central|OFF-PA-10003177|Office Supplies|Paper|Xerox 1999|12.96|2|0.0|6.2208000000000006
94|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407.0|Central|FUR-FU-10003799|Furniture|Furnishings|"Seth Thomas 13 1/2"" Wall Clock"|53.34|3|0.0|16.535399999999996
95|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407.0|Central|OFF-BI-10002852|Office Supplies|Binders|Ibico Standard Transparent Covers|32.96|2|0.0|16.1504
96|US-2019-109484|2019-11-06|2019-11-12|Standard Class|RB-19705|Roger Barcio|Home Office|United States|Portland|Oregon|97206.0|West|OFF-BI-10004738|Office Supplies|Binders|Flexible Leather- Look Classic Collection Ring Binder|5.682000000000001|1|0.7|-3.7880000000000003
97|CA-2019-161018|2019-11-09|2019-11-11|Second Class|PN-18775|Parhena Norris|Home Office|United States|New York City|New York|10009.0|East|FUR-FU-10000629|Furniture|Furnishings|9-3/4 Diameter Round Wall Clock|96.53|7|0.0|40.5426
98|CA-2019-157833|2019-06-17|2019-06-20|First Class|KD-16345|Katherine Ducich|Consumer|United States|San Francisco|California|94122.0|West|OFF-BI-10001721|Office Supplies|Binders|Trimflex Flexible Post Binders|51.312|3|0.2|17.9592
99|CA-2018-149223|2018-09-06|2018-09-11|Standard Class|ER-13855|Elpida Rittenbach|Corporate|United States|Saint Paul|Minnesota|55106.0|Central|OFF-AP-10000358|Office Supplies|Appliances|Fellowes Basic Home/Office Series Surge Protectors|77.88|6|0.0|22.585199999999993
100|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610.0|Central|OFF-PA-10003256|Office Supplies|Paper|Avery Personal Creations Heavyweight Cards|64.624|7|0.2|22.618399999999994
101|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610.0|Central|TEC-AC-10001767|Technology|Accessories|SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card|95.97600000000001|3|0.2|-10.79730000000001
102|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610.0|Central|OFF-BI-10002609|Office Supplies|Binders|Avery Hidden Tab Dividers for Binding Systems|1.7879999999999996|3|0.8|-3.0396
103|CA-2018-129903|2018-12-01|2018-12-04|Second Class|GZ-14470|Gary Zandusky|Consumer|United States|Rochester|Minnesota|55901.0|Central|OFF-PA-10004040|Office Supplies|Paper|Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)|23.92|4|0.0|11.7208
